folder,subfolder,plate_text,timestamp,image_path
CAM_20,2025-07-11T23+0300,Dua,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame30_Dua.jpg
CAM_20,2025-07-11T23+0300,p,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame40_p.jpg
CAM_20,2025-07-11T23+0300,Dhuc,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame40_Dhuc.jpg
CAM_20,2025-07-11T23+0300,Weu e,2025-07-11 23:43:29,detected_vehicles/20250711_234329_frame50_Weue.jpg
CAM_20,2025-07-11T23+0300,DEut,2025-07-11 23:42:29,detected_vehicles/20250711_234229_frame20_DEut.jpg
CAM_20,2025-07-11T23+0300,MEue,2025-07-11 23:42:29,detected_vehicles/20250711_234229_frame30_MEue.jpg
CAM_20,2025-07-11T23+0300,MGue,2025-07-11 23:42:29,detected_vehicles/20250711_234229_frame40_MGue.jpg
CAM_20,2025-07-11T23+0300,MEue,2025-07-11 23:42:29,detected_vehicles/20250711_234229_frame60_MEue.jpg
CAM_20,2025-07-11T23+0300,nGa,2025-07-11 23:42:29,detected_vehicles/20250711_234229_frame120_nGa.jpg
CAM_20,2025-07-11T23+0300,[aqo2xe 97,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame10_aqo2xe97.jpg
CAM_20,2025-07-11T23+0300,MEue,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame70_MEue.jpg
CAM_20,2025-07-11T23+0300,Iqlh;,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame80_Iqlh.jpg
CAM_20,2025-07-11T23+0300,Msue,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame80_Msue.jpg
CAM_20,2025-07-11T23+0300,MGu:,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame90_MGu.jpg
CAM_20,2025-07-11T23+0300,hiud,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame10_hiud.jpg
CAM_20,2025-07-11T23+0300,Meue,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame100_Meue.jpg
CAM_20,2025-07-11T23+0300,LgOOQue ,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame20_LgOOQue.jpg
CAM_20,2025-07-11T23+0300,MEut,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame20_MEut.jpg
CAM_20,2025-07-11T23+0300,911,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame30_911.jpg
CAM_20,2025-07-11T23+0300,aibe,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame110_aibe.jpg
CAM_20,2025-07-11T23+0300,nue,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame30_nue.jpg
CAM_20,2025-07-11T23+0300,We4e,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame110_We4e.jpg
CAM_20,2025-07-11T23+0300,DELe,2025-07-11 23:41:41,detected_vehicles/20250711_234141_frame120_DELe.jpg
CAM_20,2025-07-11T23+0300,54,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame40_54.jpg
CAM_20,2025-07-11T23+0300,Mue,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame40_Mue.jpg
CAM_20,2025-07-11T23+0300,M,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame50_M.jpg
CAM_20,2025-07-11T23+0300,Mue,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame50_Mue.jpg
CAM_20,2025-07-11T23+0300,Miue,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame60_Miue.jpg
CAM_20,2025-07-11T23+0300,miuy,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame70_miuy.jpg
CAM_20,2025-07-11T23+0300,hliu,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame80_hliu.jpg
CAM_20,2025-07-11T23+0300,DEu,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame80_DEu.jpg
CAM_20,2025-07-11T23+0300,ME4a,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame90_ME4a.jpg
CAM_20,2025-07-11T23+0300,WEnt,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame100_WEnt.jpg
CAM_20,2025-07-11T23+0300,7268,2025-07-11 23:42:05,detected_vehicles/20250711_234205_frame110_7268.jpg
CAM_20,2025-07-11T23+0300,DEue,2025-07-11 23:31:13,detected_vehicles/20250711_233113_frame10_DEue.jpg
CAM_20,2025-07-11T23+0300,Msua,2025-07-11 23:31:13,detected_vehicles/20250711_233113_frame20_Msua.jpg
CAM_20,2025-07-11T23+0300,MEua,2025-07-11 23:31:13,detected_vehicles/20250711_233113_frame30_MEua.jpg
CAM_20,2025-07-11T23+0300,QGe,2025-07-11 23:31:13,detected_vehicles/20250711_233113_frame40_QGe.jpg
CAM_20,2025-07-11T23+0300,Due,2025-07-11 23:30:01,detected_vehicles/20250711_233001_frame200_Due.jpg
CAM_20,2025-07-11T23+0300,Mesue,2025-07-11 23:30:01,detected_vehicles/20250711_233001_frame230_Mesue.jpg
CAM_20,2025-07-11T23+0300,MSue,2025-07-11 23:28:01,detected_vehicles/20250711_232801_frame280_MSue.jpg
CAM_20,2025-07-11T23+0300,MGua,2025-07-11 23:28:01,detected_vehicles/20250711_232801_frame290_MGua.jpg
CAM_20,2025-07-11T23+0300,MSue,2025-07-11 23:29:15,detected_vehicles/20250711_232915_frame10_MSue.jpg
CAM_20,2025-07-11T23+0300,MELe,2025-07-11 23:29:15,detected_vehicles/20250711_232915_frame20_MELe.jpg
CAM_20,2025-07-11T23+0300,Fala,2025-07-11 23:22:33,detected_vehicles/20250711_232233_frame110_Fala.jpg
CAM_20,2025-07-11T23+0300,IM,2025-07-11 23:22:33,detected_vehicles/20250711_232233_frame110_IM.jpg
